"Longitude","Latitude","Title","Treezone"
"150.992889","-33.950304","Melaleuca quinquenervia","TZ2"
"150.991239","-33.953745","Callistemon viminalis","TZ2"
"151.003943","-33.950852","Callistemon viminalis","TZ2"
"150.991407","-33.953652","Tristaniopsis laurina","TZ2"
"151.003991","-33.950996","Callistemon viminalis","TZ2"
"150.992742","-33.950379","Callistemon viminalis","TZ2"
"150.991525","-33.953578","Callistemon viminalis","TZ2"
"151.003999","-33.951101","Callistemon viminalis","TZ2"
"150.992693","-33.950409","Callistemon viminalis","TZ2"
"150.991952","-33.953362","Callistemon viminalis","TZ2"
"151.004022","-33.95142","Callistemon viminalis","TZ2"
"151.003882","-33.951501","Callistemon viminalis","TZ2"
"150.992116","-33.953305","Callistemon viminalis","TZ2"
"150.992395","-33.953231","Callistemon salignus","TZ2"
"150.992508","-33.953212","Callistemon salignus","TZ2"
"150.992628","-33.953198","Callistemon viminalis","TZ2"
"150.992952","-33.953194","Callistemon viminalis","TZ2"
"150.992322","-33.950614","Araucaria heterophylla","TZ2"
"151.003926","-33.951314","Callistemon viminalis","TZ2"
"150.993096","-33.95321","Callistemon viminalis","TZ2"
"151.003936","-33.951205","Melaleuca styphelioides","TZ2"
"151.003927","-33.951178","Callistemon viminalis","TZ2"
"150.993614","-33.953281","Eucalyptus ficifolia (grafted stock)","TZ2"
"151.003921","-33.951151","Waterhousia floribunda","TZ2"
"150.99146","-33.951317","Eucalyptus sp.","TZ2"
"150.993823","-33.95331","Eucalyptus ficifolia (grafted stock)","TZ2"
"150.993972","-33.953328","Callistemon viminalis","TZ2"
"151.003848","-33.950911","Callistemon viminalis","TZ2"
"150.994254","-33.953377","Lagerstroemia indica cv.","TZ2"
"150.994422","-33.953435","Callistemon viminalis","TZ2"
"150.99189","-33.951842","Eucalyptus paniculata","TZ2"
"151.003764","-33.950646","Callistemon viminalis","TZ2"
"150.994619","-33.953349","Tristaniopsis laurina","TZ2"
"151.003744","-33.950501","Callistemon viminalis","TZ2"
"151.003705","-33.950388","Callistemon viminalis","TZ2"
"151.003662","-33.950243","Callistemon viminalis","TZ2"
"151.003568","-33.949976","Callistemon viminalis","TZ2"
"151.003536","-33.94982","Callistemon viminalis","TZ2"
"150.991912","-33.951854","Eucalyptus saligna x botryoides","TZ2"
"151.003514","-33.949624","Melia azadarach","TZ2"
"150.994978","-33.953042","Callistemon linearis","TZ2"
"151.0035","-33.949532","Callistemon viminalis","TZ2"
"150.992002","-33.951985","Eucalyptus paniculata","TZ2"
"150.994771","-33.95337","Callistemon viminalis","TZ2"
"150.994656","-33.953695","Eucalyptus sp.","TZ2"
"150.99203","-33.952014","Eucalyptus microcorys","TZ2"
"150.99215","-33.952171","Eucalyptus sp.","TZ2"
"150.992163","-33.952187","Eucalyptus sp.","TZ2"
"150.992182","-33.952209","Eucalyptus sp.","TZ2"
"150.992354","-33.9522","Callistemon viminalis","TZ2"
"150.992334","-33.952174","Corymbia citriodora","TZ2"
"150.992273","-33.952103","Callistemon sp.","TZ2"
"150.992256","-33.952084","Unident / evergreen / Native","TZ2"
"150.99223","-33.952062","Corymbia citriodora","TZ2"
"150.992209","-33.952071","Callistemon sp.","TZ2"
"150.992172","-33.951987","Callistemon viminalis","TZ2"
"150.99215","-33.951963","Callistemon viminalis","TZ2"
"150.992061","-33.951841","Callistemon viminalis","TZ2"
"150.991974","-33.951736","Callistemon viminalis","TZ2"
"150.991801","-33.951525","Callistemon viminalis","TZ2"
"150.991717","-33.951432","Callistemon viminalis","TZ2"
"150.991676","-33.951378","Callistemon viminalis","TZ2"
"150.994645","-33.953966","Acacia sp. (Native & Evergreen)","TZ2"
"150.991667","-33.951365","Callistemon viminalis","TZ2"
"150.994678","-33.954049","Callistemon viminalis","TZ2"
"150.991635","-33.951322","Callistemon viminalis","TZ2"
"150.994527","-33.954008","Callistemon viminalis","TZ2"
"151.004115","-33.951563","Callistemon viminalis","TZ2"
"150.994362","-33.95391","Melaleuca linariifolia","TZ2"
"150.991614","-33.951283","Callistemon viminalis","TZ2"
"150.994148","-33.953888","Melaleuca linariifolia","TZ2"
"151.004257","-33.951639","Callistemon viminalis","TZ2"
"151.003896","-33.951474","Prunus sp.","TZ2"
"150.991614","-33.951173","Callistemon sp.","TZ2"
"150.99352","-33.953864","Melaleuca linariifolia","TZ2"
"151.003866","-33.951531","Prunus sp.","TZ2"
"150.993398","-33.953874","Unident / evergreen / Native","TZ2"
